Date,Open,High,Low,Close,Volume,Short_Exit,Open_position,Close_real_price
2024-05-22 18:00:00+00:00,5339.0,5342.25,5338.25,5340.5,997,0,0,0
2024-05-22 18:01:00+00:00,5340.5,5341.25,5339.25,5340.5,428,0,0,0
2024-05-22 18:02:00+00:00,5340.5,5340.5,5339.0,5339.75,293,0,0,0
2024-05-22 18:03:00+00:00,5339.75,5341.5,5339.75,5341.25,264,0,0,0
2024-05-22 18:04:00+00:00,5341.0,5341.0,5339.25,5339.25,187,0,0,0
2024-05-22 18:05:00+00:00,5339.25,5339.75,5338.25,5338.25,186,0,0,0
2024-05-22 18:06:00+00:00,5338.25,5338.5,5338.0,5338.25,48,0,0,0
